Agency Name,Building/Facility Name,ZIP Code, Year , Gross Floor Area  ,Source kBtu,Source EUI
MTA,Hillside Support Facility - Building # 2,11423,2011-12,314811,262731850,834.57
MTA,Jackie Gleason Depot,11232,2011-12,308333,97890830,317.48
MTA,Jamaica Corporate,11435,2011-12,64275,48197480,749.86
MTA,Jamaica Depot,11433,2011-12,97674,47650710,487.85
MTA,JFK Depot,11434,2011-12,154982,34914520,225.28
MTA,Kingsbridge Depot,10034,2011-12,332489,78576470,236.33
MTA,La Guardia Depot,11370,2011-12,112464,32318770,287.37
MTA,Manhattanville Depot,10027,2011-12,417793,94034730,225.07
MTA,Maspeth Warehouse,11378,2011-12,424204,50660850,119.43
MTA,Michael J. Quill Depot,10018,2011-12,473640,150350890,317.44
MTA,Mta Headquarters - 341 Madison Ave,10017,2011-12,46515,9457670,203.33
MTA,Mta Headquarters - 345 Madison Ave,10017,2011-12,79800,23831060,298.63
MTA,Mta Headquarters - 347 Madison Ave,10017,2011-12,212000,68200820,321.7
MTA,NYCT Learning Center,11223,2011-12,56000,10098330,180.33
MTA,Print Shop,11231,2011-12,32750,11854080,361.96
MTA,Quay Street Depot,11222,2011-12,73000,13049490,178.76
MTA,Queens Village Depot,11428,2011-12,213492,66823640,313
MTA,Rail Control Center,10019,2011-12,248000,93495210,377
MTA,Sheridan Shop - Richmond Hill,11418,2011-12,73413,54669410,744.68
MTA,Signal Learning Center,10011,2011-12,28000,1691900,60.42
MTA,Spring Creek Depot,11208,2011-12,59904,32296170,539.13
MTA,Tiffany Street Iron Shop,10474,2011-12,69000,20626090,298.93
MTA,Tiffany St. Warehouse,10474,2011-12,375000,32989920,87.97
MTA,Tuskegee Airmen Depot,10029,2011-12,375383,180496060,480.83
MTA,Ulmer Park Depot,11214,2011-12,136957,88139770,643.56
MTA,West Farms Depot,10460,2011-12,160680,58482660,363.97
MTA,Woodside Revenue 33-33,11377,2011-12,25000,6597260,263.89
MTA,Woodside Revenue 33-61,11377,2011-12,31070,19113940,615.19
MTA,Yukon Depot,10314,2011-12,267516,79100910,295.69
MTA,Zerega Central Maintenance Facility,10462,2011-12,228353,104979300,459.72
NFTA,Bnia Maintenance Building,14225,2011-12,32500,7551310,232.35
NFTA,Buffalo-Niagara International Airport,14225,2011-12,449984,255024230,566.74
NFTA,Cold Spring Bus Garage,14209,2011-12,204412,55952940,273.73
NFTA,Facility Maintenance Department,14225,2011-12,25543,2853240,111.7
NFTA,Frontier Bus Garage,14217,2011-12,142356,52145190,366.3
NFTA,Gisel Wolford Garage,14206,2011-12,114466,28149790,245.92
NFTA,Metropolitan Transportation Center,14203,2011-12,103119,36682540,355.73
NFTA,Niagara Falls International Airport,14304,2011-12,69430,23687290,341.17
NYCCOC,Javits Center,10001,2011-12,2100000,414380600,197.32
NYPA,500-MW,11105,2011-12,81120,4828700,59.53
NYPA,Clark Energy Center,13403,2011-12,116267,92118490,792.3
NYPA,General Maintenance,14092,2011-12,29660,5232640,176.42
NYPA,Niagara,14092,2011-12,29660,7306040,246.33
NYPA,St. Lawrence,13662,2011-12,59315,3896500,65.69
NYPA,White Plains,10601,2011-12,637084,84912010,133.28
NYSERDA,NYSERDA Albany Office,12203,2011-12,66000,10633750,161.12
NYSIF,Albany 15 Office,12205,2011-12,38221,5944270,155.52
NYSIF,Albany 1 Office,12205,2011-12,58831,10598370,180.15
NYSIF,Buffalo Office,14203,2011-12,49059,5794300,118.11
NYSIF,Hempstead Office,11550,2011-12,48245,2910510,60.33
NYSIF,NYC Office,10007,2011-12,316087,55121300,174.39
NYSIF,Syracuse Office,13088,2011-12,58644,18670540,318.37
NYSP,Sp Carthage,13619,2011-12,25000,2142990,85.72
NYSP,Troop A HQ,14020,2011-12,47000,9943120,211.56
NYSP,Troop B HQ,12977,2011-12,60000,6131370,102.19
NYSP,Troop C HQ,13849,2011-12,69000,3955020,57.32
NYSP,Troop D HQ,13421,2011-12,49821,7826580,157.09
NYSP,Troop E HQ,14425,2011-12,52000,6673850,128.34
NYSP,Troop F HQ,10941,2011-12,49821,7692730,154.41
NYSP,Troop K HQ,12578,2011-12,55000,5775650,105.01
OASAS,Kingsboro ATC,11221,2011-12,110000,20390100,185.36
OCFS,Brookwood Secure Center,12513,2011-12,108355,29465520,271.94
OCFS,Ella McQueen Reception Center,11221,2011-12,54532,15391100,282.24
OCFS,Finger Lakes Residential Center,14882,2011-12,118206,34387880,290.91
OCFS,Goshen Secure Center,10924,2011-12,81837,19253170,235.26
OCFS,Highland Residential Center,12528,2011-12,173592,19636110,113.12
OCFS,Industry School,14543,2011-12,296490,49781170,167.9
OCFS,MacCormick Secure Center,14817,2011-12,51824,13572670,261.9
OCFS,Taberg Residential Center,13471,2011-12,53273,8072620,151.53
OGS,Albany - 110 State Office Building,12236,2011-12,470000,89501600,190.43
OGS,Albany - 44 Holland Avenue,12208,2011-12,286399,65498410,228.7
OGS,Albany - 50 Wolf Road,12232,2011-12,390760,64234470,164.38
OGS,Albany - 625 Broadway,12233,2011-12,469109,69775280,148.74
OGS,Albany - Empire State Plaza,12242,2011-12,11852234,2871381620,242.27
OGS,Albany - Hampton Plaza,12207,2011-12,102095,14934700,146.28
OGS,Albany - Harriman Campus,12226,2011-12,2696893,745620800,276.47
OGS,Albany - Ten Eyck Building,12207,2011-12,341992,156519610,457.67
OGS,Binghamton State Office Building,13901,2011-12,277281,59060430,213
OGS,Brooklyn - Shirley A. Chisholm State Office Building,11217,2011-12,337311,35551370,105.4
OGS,Buffalo - Senator Walter J. Mahoney State Office Building,14202,2011-12,88574,8316400,93.89
OGS,"Harlem - Adam Clayton Powell, Jr. State Office Building",10027,2011-12,386069,79723040,206.5
OGS,Hauppauge - Perry B. Duryea State Office Building,11788,2011-12,417784,58485980,139.99
OGS,Hawthorne - Hudson Valley Transportation Management Center,10532,2011-12,108634,41792710,384.71
OGS,Hornell - Henderson-Smith State Office Building,14843,2011-12,71363,7873610,110.33
OGS,Oneonta - Homer Folks Facility,13820,2011-12,29301,5740350,195.91
OGS,Poughkeepsie - Eleanor Roosevelt State Office Building,12603,2011-12,88035,12520830,142.23
OGS,Schenectady - 328 State Street,12305,2011-12,116566,12602280,108.11
OGS,Syracuse - Senator John J. Hughes State Office Building,13202,2011-12,203418,21107370,103.76
OGS,Utica State Office Building,13501,2011-12,259807,36367320,139.98
OGS,Watertown - Dulles State Office Building,13601,2011-12,237797,28072560,118.05
OMH,Binghamton PC,13901,2011-12,586280,108467910,185.01
OMH,Bronx PC,10461,2011-12,1124371,223797450,199.04
OMH,Brooklyn Children's PC,11233,2011-12,123610,24319500,196.74
OMH,Buffalo PC,14213,2011-12,638275,132406890,207.44
OMH,Central NY PC,13403,2011-12,553687,84780630,153.12
OMH,Creedmoor PC,11427,2011-12,1461718,302905080,207.23
OMH,Elmira PC,14901,2011-12,232693,54234110,233.07
OMH,Hudson River PC,12601,2011-12,291329,33159640,113.82
OMH,Hutchings PC,13210,2011-12,432168,77753330,179.91
OMH,Kingsboro PC,11203,2011-12,598600,130835860,218.57
OMH,Manhattan PC,10035,2011-12,2184015,443308020,202.98
OMH,Middletown PC,10940,2011-12,75955,24591770,323.77
OMH,Mid-Hudson PC,10958,2011-12,335766,67061490,199.73
OMH,Mohawk Valley PC,13502,2011-12,657851,136447820,207.41
OMH,NYSPI,10032,2011-12,558134,236831710,424.33
OMH,Pilgrim PC,11717,2011-12,1704519,393466860,230.84
OMH,Queens Children's PC,11426,2011-12,221893,60219810,271.39
OMH,Rochester PC,14620,2011-12,755650,147324600,194.96
OMH,Rockland Cook Chill,10962,2011-12,59067,54510970,922.87
OMH,Rockland PC,10962,2011-12,1641790,394309500,240.17
OMH,Sagamore PC,11746,2011-12,149000,32075930,215.27
OMH,South Beach PC,10305,2011-12,527024,121593130,230.72
OMH,St. Lawrence PC,13669,2011-12,576156,206204340,357.9
OPRHP,Administration Building,14779,2011-12,30660,16035160,523
OPRHP,Bayard Cutting Mansion,11769,2011-12,23385,1756050,75.09
OPRHP,Bear Mountain Garage,10911,2011-12,28535,3173720,111.22
OPRHP,Bear Mountain Iona Storage,10911,2011-12,30527,998240,32.7
OPRHP,Belmont Lakes Offices,11703,2011-12,53144,9217130,173.44
OPRHP,Belmont Lakes Storage,11703,2011-12,35630,4091170,114.82
OPRHP,Caumsett Field Mansion,11743,2011-12,33030,381950,11.56
OPRHP,Connetquot Offices,11743,2011-12,22324,747200,33.47
OPRHP,Heckscher Shop,11739,2011-12,20672,3681900,178.11
OPRHP,"Lincoln Bathhouse, SSSP",12866,2011-12,104225,9278770,89.03
OPRHP,Mills Mansion,12580,2011-12,47400,1604960,33.86
OPRHP,Mills Norrie Barn,12580,2011-12,30328,35760,1.18
OPRHP,Minnewaska Maintenance Garage,12466,2011-12,24482,1423560,58.15
OPRHP,Niagara Maintenance Center,14303,2011-12,31050,6873740,221.38
OPRHP,Niagara Visitor Center,14304,2011-12,21905,29816170,1361.16
OPRHP,Peebles Island Labs,12188,2011-12,26700,363350,13.61
OPRHP,Peebles Island Offices,12188,2011-12,120225,9272480,77.13
OPRHP,RCSP Activities Building,10453,2011-12,45100,10449370,231.69
OPWDD,Bernard Fineson DDSO,11427,2011-12,391881,24003030,61.25
OPWDD,Brooklyn DDSO,11208,2011-12,524989,102245240,194.76
OPWDD,Broome DDSO,13095,2011-12,402151,132483990,329.44
OPWDD,Capital District DDSO,12304,2011-12,331100,132606080,400.5
OPWDD,Finger Lakes DDSO/Monroe DC,14620,2011-12,301268,119495890,396.64
OPWDD,Finger Lakes DDSO/Newark DC,14513,2011-12,277002,32137130,116.02
OPWDD,Hudson Valley DDSO,10984,2011-12,228886,31186800,136.25
OPWDD,Metro DDSO,10014,2011-12,169870,28680240,168.84
OPWDD,Staten Island DDSO & Institute For Basic Research,10314,2011-12,753385,296011520,392.91
OPWDD,Sunmount DDSO,12986,2011-12,553148,123279120,222.87
OPWDD,Taconic DDSO,12592,2011-12,674746,154019210,228.26
OPWDD,Valley Ridge CIT,13815,2011-12,57548,20046050,348.34
OPWDD,Western NY DDSO,14224,2011-12,735722,53388410,72.57
ORDA,Belleayre Mt. Main Campus,12441,2011-12,54500,29024580,532.56
ORDA,Gore Mt. Base Campus,12853,2011-12,26112,115710750,4431.32
ORDA,Olympic Center,12946,2011-12,250247,156304990,624.6
ORDA,Whiteface Mt. Base Lodge,12997,2011-12,66710,150971430,2263.1
RIOC,Motorgate,10044,2011-12,669609,9329470,13.93
RIOC,Sportspark,10044,2011-12,74250,8140680,109.64
SUNY,Alfred Ceramics,14802,2011-12,440791,111289300,252.48
SUNY,Alfred State,14802,2011-12,1652060,260998760,157.98
SUNY,Binghamton,13902,2011-12,5701065,1031021030,180.85
SUNY,Brockport,14420,2011-12,2892944,438477300,151.57
SUNY,Buffalo State,14222,2011-12,3082495,631770050,204.95
SUNY,Canton,13617,2011-12,1086308,186697770,171.86
SUNY,Cobleskill,12043,2011-12,1253362,210914610,168.28
SUNY,Cornell,14853,2011-12,6108536,1362157910,222.99
SUNY,Cortland,13045,2011-12,2436498,423853130,173.96
SUNY,Delhi,13753,2011-12,1051863,168891220,160.56
SUNY,Downstate Medical Center,11203,2011-12,2352037,905717990,385.08
SUNY,Empire State,12866,2011-12,417048,52096230,124.92
SUNY,Environmental Science & Forestry,13210,2011-12,1027378,196934580,191.69
SUNY,Farmingdale,11735,2011-12,1631718,264242200,161.94
SUNY,Fredonia,14063,2011-12,2091030,364291950,174.22
SUNY,Geneseo,14454,2011-12,2341397,370482810,158.23
SUNY,Geneva AES,14456,2011-12,648968,167541690,258.17
SUNY,Maritime,10465,2011-12,733189,142644590,194.55
SUNY,Morrisville,13408,2011-12,1712118,263046200,153.64
SUNY,New Paltz,12561,2011-12,2112108,391764850,185.49
SUNY,Old Westbury,11568,2011-12,1439038,204939230,142.41
SUNY,Oneonta,13820,2011-12,2332856,465408590,199.5
SUNY,Optometry College,10036,2011-12,298000,60264280,202.23
SUNY,Oswego,13126,2011-12,3450693,634323720,183.83
SUNY,Plattsburgh,12901,2011-12,2094414,509036190,243.04
SUNY,Potsdam,13676,2011-12,2217433,428049680,193.04
SUNY,Purchase,10577,2011-12,2437818,454202840,186.32
SUNY,Stony Brook University,11794,2011-12,10788754,3668342940,340.02
SUNY,SUNY Polytechnic Institute,13504,2011-12,842401,116915470,138.79
SUNY,System Administration,12246,2011-12,626607,75461310,120.43
SUNY,University at Albany,12222,2011-12,6303047,956195880,151.7
SUNY,University at Buffalo,14260,2011-12,10789610,2673419660,247.78
SUNY,Upstate Medical,13210,2011-12,3015412,1148275770,380.8
TWA-CA,Administrative Headquarters (A2050),12209,2011-12,121000,48520380,400.99
TWA-CA,Albany Division Hq And Maintenance Garage (M2341),12209,2011-12,36700,8940200,243.6
TWA-CA,Buffalo Division Hq And Maintenance Garage (M4341),14225,2011-12,58769,15249290,259.48
TWA-CA,Henzel Powers (A2053),12209,2011-12,34700,9543860,275.04
TWA-CA,Lysander Canal Maintenance Facility,13135,2011-12,36680,8935190,243.6
TWA-CA,Newburgh Complex Vehicle Storage (M1835),12550,2011-12,103614,12769410,123.24
TWA-CA,Newquip (Brookside Farm) And Maintenance Garage (M5341),12550,2011-12,24640,1342480,54.48
TWA-CA,Nyack Division Hq And Maintenance Garage (M1341),10994,2011-12,46300,8258800,178.38
TWA-CA,Pittsford Canal Shop,14534,2011-12,20865,1717050,82.29
TWA-CA,Syracuse Division HQ And Maintenance Garage (M3341),13057,2011-12,79892,11497250,143.91
UNDC,1 United Nations Plaza,10017,2011-12,586305,159381320,271.84
UNDC,2 United Nations Plaza,10017,2011-12,565113,110317190,195.21
UNDC,UNICEF House,10017,2011-12,228174,64645080,283.31
Adirondack Park Agency,Adirondack Park Agency Office,12977,2010-11,22000,2958380,134
Agriculture and Markets,NY State Fair,13209,2010-11,663300,84508330,127
CUNY,Baruch College Campus,10010,2010-11,1572632,383849490,244
CUNY,Brooklyn College Campus,11210,2010-11,2404930,786802490,327
CUNY,Central Office Campus,10075,2010-11,99594,61158590,614
CUNY,City College Of New York Campus,10031,2010-11,2959867,899150690,304
CUNY,City Tech College Campus,11201,2010-11,1098248,245774100,224
CUNY,College Of Staten Island Campus,10314,2010-11,1354984,416209300,307
CUNY,Graduate Center,10016,2010-11,680546,146248920,215
CUNY,Honors College,10023,2010-11,24096,7350300,305
CUNY,Hunter College Campus,10021,2010-11,2608002,614710690,236
CUNY,John Jay College Of Criminal Justice Campus,10019,2010-11,800856,278667630,348
CUNY,Lehman College Campus,10468,2010-11,1536233,401926660,262
CUNY,Medgar Evers College Campus,11225,2010-11,581310,184946890,318
CUNY,Queens College Campus,11367,2010-11,2780980,619361180,223
CUNY,York College Campus,11451,2010-11,937783,257342550,274
DASNY,DASNY Headquarters (Albany),12207,2010-11,180000,26085250,145
DASNY,Delmar Building,12054,2010-11,43000,8340960,194
DEC,Avon Office,14414,2010-11,47028,5055430,108
DEC,Herkimer Suboffice,13350,2010-11,22400,670930,30
DEC,"New Paltz Regional Office - Office Bldg. (NYSDEC), Region 3",12561,2010-11,41400,4177740,101
DEC,Raybrook Office,12977,2010-11,39856,3508290,88
DEC,Salmon River Fish Hatchery,13302,2010-11,46400,10963050,236
DEC,Stamford Suboffice,12167,2010-11,23949,1825340,76
DEC,Warrensburg Suboffice,12885,2010-11,40769,4525550,111
DMNA,Auburn Armory,13021,2010-11,55705,6992110,126
DMNA,Binghamton Armory And Facility Maintenance Shop,13905,2010-11,125401,6333550,51
DMNA,Bronx Armory,10468,2010-11,34265,3744680,109
DMNA,Buffalo Connecticut Street Armory And Field Maintenance Shop,14213,2010-11,384501,15572010,41
DMNA,Buffalo Masten Ave Armory,14204,2010-11,301743,12406210,41
DMNA,Buffalo Masten Ave Facility Maintenance Shop,14204,2010-11,36696,1706400,47
DMNA,Camp Smith Training Site Campus,10567,2010-11,621292,54553440,88
DMNA,Dunkirk Armory,14048,2010-11,23845,2517570,106
DMNA,Geneseo Armory,14454,2010-11,45252,6190780,137
DMNA,Geneva Armory,14456,2010-11,33626,2556670,76
DMNA,Gloversville Armory,12078,2010-11,42352,2296560,54
DMNA,Hornell Armory,14843,2010-11,41919,1833540,44
DMNA,Horseheads Armory,14845,2010-11,27641,2151470,78
DMNA,Ithaca Armory,14850,2010-11,29661,2068830,70
DMNA,Jamaica Armory And Facility Maintenance Shop,11433,2010-11,312231,8850090,28
DMNA,Jamestown Armory And Facility Maintenance Shop,14701,2010-11,42771,3487930,82
DMNA,Kingston Armory,12401,2010-11,111745,3544220,32
DMNA,Latham Army Aviation Support Facility,12110,2010-11,38797,2993170,77
DMNA,"Latham HQ, Armory And Facility Mainenance Shop Campus",12110,2010-11,196658,38110390,194
DMNA,Leeds Armory,12451,2010-11,37732,2744030,73
DMNA,Lockport Armory,14094,2010-11,28281,3080150,109
DMNA,Morrisonville Armory,12962,2010-11,22187,2051590,92
DMNA,New York Fifth Avenue Armory,10037,2010-11,245395,25658140,105
DMNA,New York Lexington Avenue Armory,10010,2010-11,226785,20011210,88
DMNA,Ogdensburg Armory,13669,2010-11,33963,4174350,123
DMNA,Olean Armory,14760,2010-11,48097,2047820,43
DMNA,Orangeburg Armory,10962,2010-11,28321,1942790,69
DMNA,Peekskill Armory,10566,2010-11,81534,13940,0
DMNA,Queensbury Armory,12804,2010-11,49363,12094470,245
DMNA,Rochester Patriot Way Armory,14624,2010-11,131436,36344710,277
DMNA,Rochester Patriot Way Army Aviation Support Facility,14624,2010-11,94982,23265810,245
DMNA,Ronkonkoma Armory And Army Aviation Support Facility,11779,2010-11,78694,22668260,288
DMNA,Saranac Lake Armory,12983,2010-11,22862,4451600,195
DMNA,Saratoga Springs Museum,12866,2010-11,37707,7798430,207
DMNA,Staten Island Armory,10314,2010-11,61600,6154790,100
DMNA,Staten Island Combined Support Maintenance Shop,10314,2010-11,27633,12606270,456
DMNA,Troy Glenmore Road Armory And Facility Maintenance Shop,12180,2010-11,80218,8418090,105
DMNA,Troy South Lake Avenue Armory,12180,2010-11,21316,3219550,151
DMNA,Utica Armory,13501,2010-11,106387,24120050,227
DMNA,Whitestone Armory,11357,2010-11,39515,3437250,87
DMNA,Yonkers Armory,10701,2010-11,23762,3433730,145
DOCCS,Adirondack Correctional Facility,12977,2010-11,492821,91797580,186
DOCCS,Albion Correctional Facility,14411,2010-11,655726,190726970,291
DOCCS,Altona Correctional Facility,12910,2010-11,220958,57823100,262
DOCCS,Arthurkill Correctional Facility,10309,2010-11,353105,101281100,286.83
DOCCS,Attica Correctional Facility,14011,2010-11,1145022,273279240,239
DOCCS,Auburn Correctional Facility,13024,2010-11,1214714,257993260,212
DOCCS,Bare Hill Correctional Facility,12953,2010-11,491621,177254530,361
DOCCS,Bayview Correctional Facility,10011,2010-11,107854,32264580,299
DOCCS,Beacon Correctional Facility,12508,2010-11,104166,18892480,181
DOCCS,Bedford Hills Correctional Facility,10507,2010-11,642101,170178710,265
DOCCS,Buffalo Correctional Facility,14004,2010-11,34276,9595200,280
DOCCS,Butler Correctional Facility,13143,2010-11,102509,40867230,399
DOCCS,Camp Gabriels Correctional Facility,12970,2010-11,167030,2594050,16
DOCCS,Camp Georgetown Correctional Facility,13072,2010-11,82768,21396470,259
DOCCS,Cape Vincent Correctional Facility,13618,2010-11,309729,93359460,301
DOCCS,Cayuga Correctional Facility,13118,2010-11,370144,120033900,324
DOCCS,Chateaugay Correctional Facility,12920,2010-11,90756,29202300,322
DOCCS,Clinton Correctional Facility,12929,2010-11,1949707,470692660,241
DOCCS,Collins Correctional Facility,14034,2010-11,890476,176295760,198
DOCCS,Coxsackie Correctional Facility,12051,2010-11,659419,147682900,224
DOCCS,Downstate Correctional Facility,12524,2010-11,584254,295899460,506
DOCCS,Eastern Correctional Facility,12458,2010-11,953272,179229390,188
DOCCS,Edgecombe Correctional Facility,10032,2010-11,86122,23091610,268
DOCCS,Elmira Correctional Facility,14901,2010-11,1570340,308849120,197
DOCCS,Fishkill Correctional Facility,12508,2010-11,1556913,372560560,239
DOCCS,Five Points Correctional Facility,14541,2010-11,996856,192130560,193
DOCCS,Franklin Correctional Facility,12953,2010-11,544054,175890930,323
DOCCS,Fulton Correctional Facility,10457,2010-11,90688,18696810,206
DOCCS,Gouverneur Correctional Facility,13642,2010-11,372764,125873650,338
DOCCS,Gowanda Correctional Facility,14070,2010-11,885820,174727940,197
DOCCS,Great Meadow Correctional Facility,12821,2010-11,1098351,252155800,230
DOCCS,Greene Correctional Facility,12051,2010-11,568902,159751160,281
DOCCS,Green Haven Correctional Facility,12582,2010-11,1537919,302410370,197
DOCCS,Groveland Correctional Facility,14556,2010-11,1119994,171983300,154
DOCCS,Hale Creek Correctional Facility,12095,2010-11,130015,39077110,301
DOCCS,Hudson Correctional Facility,12534,2010-11,360644,66619550,185
DOCCS,Lakeview Correctional Facility,14716,2010-11,430237,92585410,215
DOCCS,Lincoln Correctional Facility,10026,2010-11,56919,14415150,253
DOCCS,Livingston Correctional Facility,14556,2010-11,287232,141064190,491
DOCCS,Lyon Mountain Correctional Facility,12952,2010-11,86997,12803950,147
DOCCS,Marcy Correctional Facility,13403,2010-11,615738,151869940,247
DOCCS,Mid-Orange Correctional Facility,10990,2010-11,565497,106643200,189
DOCCS,Mid-State Correctional Facility,13403,2010-11,1077248,313842750,291
DOCCS,Mohawk Correctional Facility,13440,2010-11,778563,215928550,277
DOCCS,Monterey Correctional Facility,14812,2010-11,97983,17493150,179
DOCCS,Moriah Correctional Facility,12956,2010-11,113881,21263890,187
DOCCS,Mt. Mcgregor Correctional Facility,12831,2010-11,575352,89082770,155
DOCCS,Ogdensburg Correctional Facility,13669,2010-11,524778,77680500,148
DOCCS,Oneida Correctional Facility,13440,2010-11,1006228,271315430,270
DOCCS,Orleans Correctional Facility,14411,2010-11,356243,93239840,262
DOCCS,Otisville Correctional Facility,10963,2010-11,402208,78263650,195
DOCCS,Queensboro Correctional Facility,11101,2010-11,128372,38441150,299
DOCCS,Riverview Correctional Facility,13669,2010-11,310340,103381810,333
DOCCS,Shawangunk Correctional Facility,12589,2010-11,341601,79676360,233
DOCCS,Sing Sing Correctional Facility,10562,2010-11,1145216,236519270,207
DOCCS,Southport Correctional Facility,14871,2010-11,430326,97078380,226
DOCCS,Sullivan Annex,12733,2010-11,59246,4041950,68
DOCCS,Sullivan Correctional Facility,12733,2010-11,367204,119607370,326
DOCCS,Summit Correctional Facility,12175,2010-11,81952,15099730,184
DOCCS,Taconic Correctional Facility,10507,2010-11,241852,66821990,276
DOCCS,Training Academy,12208,2010-11,92922,16005860,172
DOCCS,Ulster Correctional Facility,12458,2010-11,275534,69124180,251
DOCCS,Upstate Correctional Facility,12953,2010-11,787775,179233220,228
DOCCS,Wallkill Correctional Facility,12589,2010-11,515311,101458100,197
DOCCS,Washington Correctional Facility,12821,2010-11,471270,111938700,238
DOCCS,Watertown Correctional Facility,13601,2010-11,341785,84898490,248
DOCCS,Wende Correctional Facility,14004,2010-11,622405,149713060,241
DOCCS,Willard D.T.C.,14588,2010-11,1176933,158779400,135
DOCCS,Woodbourne Correctional Facility,12788,2010-11,410400,117696030,287
DOCCS,Wyoming Correctional Facility,14011,2010-11,708325,141106320,199
DOH,David Axelrod Institute,12208,2010-11,225000,199673180,887
DOH,Griffin Laboratory,12159,2010-11,48824,70594360,1446
DOH,Helen Hayes Hospital,10993,2010-11,289000,101345150,351
DOH,NYS Veterans' Home at Batavia,14020,2010-11,80381,25512650,317
DOH,NYS Veterans' Home at Montrose,10548,2010-11,158970,49094280,309
DOH,NYS Veterans' Home at St. Albans,11434,2010-11,151000,44891230,297
DOH,Skilled Nursing Facility-NYS Veterans' Home At Oxford,13830,2010-11,217643,79114540,364
DOT,Broome County HQ,13904,2010-11,31000,4586850,148
DOT,Hamburg HQ,14075,2010-11,22963,3721060,162
DOT,Lockport HQ,14094,2010-11,43000,5850030,136
DOT,Lowville HQ,13367,2010-11,27579,3585130,130
DOT,Melville HQ,11747,2010-11,32500,4563120,140
DOT,Monroe East HQ,14445,2010-11,25829,4341920,168
DOT,North Merrick HQ,11566,2010-11,57250,9379270,164
DOT,Ogdensburg Sub-HQ,13669,2010-11,30000,3812770,127
DOT,Onondaga East HQ,13212,2010-11,30453,4872970,160
DOT,Region 3 Fleet Adminstration Shop,13212,2010-11,65044,8234170,127
DOT,Region 5 Fleet Adminstration Shop,14075,2010-11,43250,7252100,168
DOT,Region 6 Fleet Administration Shop,14843,2010-11,44339,4529950,102
DOT,Region 7 Fleet Adminstration Shop,13601,2010-11,37200,6121490,165
DOT,Riverhead HQ,11901,2010-11,30000,4570930,152
DOT,Schuyler-Yates Sub-HQ,14527,2010-11,35710,3184850,89
DOT,Syosset HQ,11791,2010-11,30000,3581600,119
DOT,Watertown HQ,13601,2010-11,30000,5502710,183
DOT,Wyoming County HQ,14569,2010-11,27125,4051700,149
MTA,126th Street Depot,10035,2010-11,115839,57932480,500
MTA,130 Livingston Street,11201,2010-11,565650,205611900,364
MTA,2 Broadway Office,10004,2010-11,1600000,339967030,212
MTA,99th Street Lighting,10029,2010-11,23260,4372680,188
MTA,Amsterdam Depot,10027,2010-11,87061,16260320,187
MTA,Baisley Park Depot,11434,2010-11,83295,16712070,201
MTA,Bergen Street,11213,2010-11,48700,8723980,179
MTA,Brewster North Maintenance Facility,10509,2010-11,65000,31674040,487
MTA,Casey Stengel Depot,11368,2010-11,142350,66105790,464
MTA,Castleton Depot,10309,2010-11,148239,62541580,422
MTA,Central Substation,10019,2010-11,35200,8902390,253
MTA,College Point Depot,11354,2010-11,127018,71971300,567
MTA,Eastchester Depot,10475,2010-11,66217,29070050,439
MTA,Far Rockaway Depot,11691,2010-11,27317,9964090,365
MTA,Flatbush Depot,11234,2010-11,186762,97219160,521
MTA,Fresh Pond Depot,11385,2010-11,165895,74617400,450
MTA,Grand Avenue Depot,11378,2010-11,566290,277690400,490
MTA,Grand Central Terminal,10017,2010-11,3194963,786300820,246
MTA,Gun Hill Depot,10469,2010-11,297600,73728700,248
MTA,Hillside Support Facility - Building # 2,11423,2010-11,314811,214074790,680
MTA,Jackie Gleason Depot,11232,2010-11,308333,95714300,310
MTA,Jamaica Corporate,11435,2010-11,64275,51713310,805
MTA,Jamaica Depot,11433,2010-11,97674,58024160,594
MTA,JFK Depot,11434,2010-11,154982,42052940,271
MTA,Kingsbridge Depot,10034,2010-11,332489,83067240,250
MTA,La Guardia Depot,11370,2010-11,112464,86622700,770
MTA,Manhattanville Depot,10027,2010-11,417793,111666970,267
MTA,Maspeth Warehouse,11378,2010-11,424204,56912530,134
MTA,Michael J. Quill Depot,10018,2010-11,473640,159183420,336
MTA,Mta Headquarters - 341 Madison Ave,10017,2010-11,46515,10881900,234
MTA,Mta Headquarters - 345 Madison Ave,10017,2010-11,79800,26141490,328
MTA,Mta Headquarters - 347 Madison Ave,10017,2010-11,212000,72499160,342
MTA,NYCT Learning Center,11223,2010-11,56000,11589510,207
MTA,Print Shop,11231,2010-11,32750,13895680,424
MTA,Quay Street Depot,11222,2010-11,73000,12625020,173
MTA,Queens Village Depot,11428,2010-11,213492,70731050,331
MTA,Rail Control Center,10019,2010-11,248000,97583680,393
MTA,Sheridan Shop - Richmond Hill,11418,2010-11,73413,45394500,618
MTA,Signal Learning Center,10011,2010-11,28000,2050600,73
MTA,Spring Creek Depot,11208,2010-11,59904,46346770,774
MTA,Tiffany Street Iron Shop,10474,2010-11,69000,21354770,309
MTA,Tiffany St. Warehouse,10474,2010-11,375000,37883790,101
MTA,Tuskegee Airmen Depot,10029,2010-11,375383,158772380,423
MTA,Ulmer Park Depot,11214,2010-11,136957,97142460,709
MTA,West Farms Depot,10460,2010-11,160680,61546950,383
MTA,Woodside Revenue 33-33,11377,2010-11,25000,6891510,276
