Agency Name,Building/Facility Name,ZIP Code, Year , Gross Floor Area  ,Source kBtu,Source EUI
OPWDD,Valley Ridge CIT,13815,2012-13,57548,18881570,328.1
OPWDD,Western NY DDSO,14224,2012-13,735722,36600920,49.75
ORDA,Belleayre Mt. Main Campus,12441,2012-13,54500,32882720,603.35
ORDA,Gore Mt. Base Campus,12853,2012-13,26112,144117450,5519.2
ORDA,Olympic Center,12946,2012-13,250247,144091470,575.8
ORDA,Whiteface Mt. Base Lodge,12997,2012-13,66710,228831540,3430.24
RIOC,Motorgate,10044,2012-13,669609,9260900,13.83
RIOC,Sportspark,10044,2012-13,74250,8250390,111.12
SUNY,Alfred Ceramics,14802,2012-13,416758,89862980,215.62
SUNY,Alfred State,14802,2012-13,1427776,254830120,178.48
SUNY,Binghamton,13902,2012-13,5794503,1089340480,188
SUNY,Brockport,14420,2012-13,2902828,498043810,171.57
SUNY,Buffalo State,14222,2012-13,3099537,644248950,207.85
SUNY,Canton,13617,2012-13,1090201,188095120,172.53
SUNY,Cobleskill,12043,2012-13,1235753,221981700,179.63
SUNY,Cornell,14853,2012-13,6430561,1284734020,199.79
SUNY,Cortland,13045,2012-13,2431451,423232000,174.07
SUNY,Delhi,13753,2012-13,1045966,135273210,129.33
SUNY,Downstate Medical Center,11203,2012-13,2223292,847881440,381.36
SUNY,Empire State,12866,2012-13,151958,30745220,202.33
SUNY,Environmental Science & Forestry,13210,2012-13,1053118,196882340,186.95
SUNY,Farmingdale,11735,2012-13,1508832,263311210,174.51
SUNY,Fredonia,14063,2012-13,2080154,392340800,188.61
SUNY,Geneseo,14454,2012-13,2281712,401313610,175.88
SUNY,Geneva AES,14456,2012-13,585265,160764070,274.69
SUNY,Maritime,10465,2012-13,741451,97706900,131.78
SUNY,Morrisville,13408,2012-13,1722868,272198830,157.99
SUNY,New Paltz,12561,2012-13,2093321,381095050,182.05
SUNY,Old Westbury,11568,2012-13,1458046,143253510,98.25
SUNY,Oneonta,13820,2012-13,2344369,437621620,186.67
SUNY,Optometry College,10036,2012-13,298000,58455240,196.16
SUNY,Oswego,13126,2012-13,3389333,670227770,197.75
SUNY,Plattsburgh,12901,2012-13,2105947,510155200,242.25
SUNY,Potsdam,13676,2012-13,2225317,431553790,193.93
SUNY,Purchase,10577,2012-13,2438268,460457430,188.85
SUNY,Stony Brook University,11794,2012-13,11767742,3642159450,309.5
SUNY,SUNY Polytechnic Institute,13504,2012-13,908781,116708500,128.42
SUNY,System Administration,12246,2012-13,642060,73481370,114.45
SUNY,University at Albany,12222,2012-13,5149049,1258957170,244.5
SUNY,University at Buffalo,14260,2012-13,10650499,2886489710,271.02
SUNY,Upstate Medical,13210,2012-13,3910310,1139842010,291.5
TWA-CA,Administrative Headquarters (A2050),12209,2012-13,121000,44831000,370.5
TWA-CA,Albany Division Hq And Maintenance Garage (M2341),12209,2012-13,36700,8757060,238.61
TWA-CA,Buffalo Division Hq And Maintenance Garage (M4341),14225,2012-13,58769,13079080,222.55
TWA-CA,Henzel Powers (A2053),12209,2012-13,34700,8219350,236.87
TWA-CA,Lysander Canal Maintenance Facility,13135,2012-13,36680,8534630,232.68
TWA-CA,Newburgh Complex Vehicle Storage (M1835),12550,2012-13,103614,26170310,252.58
TWA-CA,Newquip (Brookside Farm) And Maintenance Garage (M5341),12550,2012-13,24640,2134460,86.63
TWA-CA,Nyack Division Hq And Maintenance Garage (M1341),10994,2012-13,46300,6828410,147.48
TWA-CA,Pittsford Canal Shop,14534,2012-13,20865,4097150,196.36
TWA-CA,Syracuse Division HQ And Maintenance Garage (M3341),13057,2012-13,79892,12204840,152.77
UNDC,1 United Nations Plaza,10017,2012-13,586305,163351640,278.61
UNDC,2 United Nations Plaza,10017,2012-13,565113,111243310,196.85
UNDC,UNICEF House,10017,2012-13,228174,65577430,287.4
Adirondack Park Agency,Adirondack Park Agency Office,12977,2011-12,22000,3019470,137
Agriculture and Markets,NY State Fair,13209,2011-12,663300,85771200,129
CUNY,Baruch College Campus,10010,2011-12,1572632,367355130,234
CUNY,Brooklyn College Campus,11210,2011-12,2404930,814613840,339
CUNY,Central Office Campus,10075,2011-12,99594,58395540,586
CUNY,City College Of New York Campus,10031,2011-12,2959867,776774060,262
CUNY,City Tech College Campus,11201,2011-12,1098248,190813870,174
CUNY,College Of Staten Island Campus,10314,2011-12,1354984,400396110,296
CUNY,Graduate Center,10016,2011-12,680546,149157830,219
CUNY,Honors College,10023,2011-12,24096,6802070,282
CUNY,Hunter College Campus,10021,2011-12,2608002,612815470,235
CUNY,John Jay College Of Criminal Justice Campus,10019,2011-12,800856,327237200,409
CUNY,Lehman College Campus,10468,2011-12,1536233,363369110,237
CUNY,Medgar Evers College Campus,11225,2011-12,581310,189874530,327
CUNY,Queens College Campus,11367,2011-12,2780980,569035120,205
CUNY,York College Campus,11451,2011-12,937783,236986440,253
DASNY,DASNY Headquarters (Albany),12207,2011-12,180000,25645780,142
DASNY,Delmar Building,12054,2011-12,43000,4565960,106
DEC,Avon Office,14414,2011-12,47028,4691600,100
DEC,Herkimer Suboffice,13350,2011-12,22400,647090,28.89
DEC,"New Paltz Regional Office - Office Bldg. (NYSDEC), Region 3",12561,2011-12,41400,4109550,99.26
DEC,Raybrook Office,12977,2011-12,39856,3480960,87.34
DEC,Salmon River Fish Hatchery,13302,2011-12,46400,10770250,232.12
DEC,Stamford Suboffice,12167,2011-12,23949,1675430,69.96
DEC,Warrensburg Suboffice,12885,2011-12,40769,4336730,106.37
DMNA,Auburn Armory,13021,2011-12,55705,5593790,100.42
DMNA,Binghamton Armory And Facility Maintenance Shop,13905,2011-12,125401,6073130,48.43
DMNA,Bronx Armory,10468,2011-12,34265,2624500,76.59
DMNA,Buffalo Connecticut Street Armory And Field Maintenance Shop,14213,2011-12,384501,13737020,35.73
DMNA,Buffalo Masten Ave Armory,14204,2011-12,301743,10354400,34.32
DMNA,Buffalo Masten Ave Facility Maintenance Shop,14204,2011-12,36696,1617120,44.07
DMNA,Camp Smith Training Site Campus,10567,2011-12,621292,60668400,97.65
DMNA,Dunkirk Armory,14048,2011-12,23845,1888580,79.2
DMNA,Geneseo Armory,14454,2011-12,45252,5064840,111.93
DMNA,Geneva Armory,14456,2011-12,33626,1812050,53.89
DMNA,Gloversville Armory,12078,2011-12,42352,2188880,51.68
DMNA,Hornell Armory,14843,2011-12,41919,1456120,34.74
DMNA,Horseheads Armory,14845,2011-12,27641,2268180,82.06
DMNA,Ithaca Armory,14850,2011-12,29661,2004560,67.58
DMNA,Jamaica Armory And Facility Maintenance Shop,11433,2011-12,312231,8118460,26
DMNA,Jamestown Armory And Facility Maintenance Shop,14701,2011-12,42771,2985820,69.81
DMNA,Kingston Armory,12401,2011-12,111745,3645860,32.63
DMNA,Latham Army Aviation Support Facility,12110,2011-12,38797,212710,5.48
DMNA,"Latham HQ, Armory And Facility Mainenance Shop Campus",12110,2011-12,196658,30642470,155.82
DMNA,Leeds Armory,12451,2011-12,37732,1935100,51.29
DMNA,Lockport Armory,14094,2011-12,28281,2093470,74.02
DMNA,Morrisonville Armory,12962,2011-12,22187,1111000,50.07
DMNA,New York Fifth Avenue Armory,10037,2011-12,245395,17698970,72.12
DMNA,New York Lexington Avenue Armory,10010,2011-12,226785,11449270,50.49
DMNA,Ogdensburg Armory,13669,2011-12,33963,4837230,142.43
DMNA,Olean Armory,14760,2011-12,48097,1404280,29.2
DMNA,Orangeburg Armory,10962,2011-12,28321,1270180,44.85
DMNA,Peekskill Armory,10566,2011-12,81534,28140,0.35
DMNA,Queensbury Armory,12804,2011-12,49363,1698020,34.4
DMNA,Rochester Patriot Way Armory,14624,2011-12,131436,21283070,161.93
DMNA,Rochester Patriot Way Army Aviation Support Facility,14624,2011-12,94982,14029030,147.7
DMNA,Ronkonkoma Armory And Army Aviation Support Facility,11779,2011-12,78694,10319320,131.13
DMNA,Saranac Lake Armory,12983,2011-12,22862,4527570,198.04
DMNA,Saratoga Springs Museum,12866,2011-12,37707,3051290,80.92
DMNA,Staten Island Armory,10314,2011-12,61600,21701990,352.31
DMNA,Staten Island Combined Support Maintenance Shop,10314,2011-12,27633,11044800,399.7
DMNA,Troy Glenmore Road Armory And Facility Maintenance Shop,12180,2011-12,80218,8293730,103.39
DMNA,Troy South Lake Avenue Armory,12180,2011-12,21316,3917660,183.79
DMNA,Utica Armory,13501,2011-12,106387,11587870,108.92
DMNA,Whitestone Armory,11357,2011-12,39515,1042720,26.39
DMNA,Yonkers Armory,10701,2011-12,23762,778530,32.76
DOCCS,Adirondack Correctional Facility,12977,2011-12,492821,82930650,168.28
DOCCS,Albion Correctional Facility,14411,2011-12,655726,174553660,266.2
DOCCS,Altona Correctional Facility,12910,2011-12,220958,56733770,256.76
DOCCS,Arthurkill Correctional Facility,10309,2011-12,353105,36920230,104.56
DOCCS,Attica Correctional Facility,14011,2011-12,1149952,259331980,225.52
DOCCS,Auburn Correctional Facility,13024,2011-12,1213994,243027410,200.19
DOCCS,Bare Hill Correctional Facility,12953,2011-12,475682,174883520,367.65
DOCCS,Bayview Correctional Facility,10011,2011-12,107854,30337580,281.28
DOCCS,Beacon Correctional Facility,12508,2011-12,104016,18371340,176.62
DOCCS,Bedford Hills Correctional Facility,10507,2011-12,642101,175644750,273.55
DOCCS,Buffalo Correctional Facility,14004,2011-12,34276,1655130,48.29
DOCCS,Butler Correctional Facility,13143,2011-12,102509,39282130,383.21
DOCCS,Camp Gabriels Correctional Facility,12970,2011-12,167030,243240,1.46
DOCCS,Camp Georgetown Correctional Facility,13072,2011-12,82768,11239120,135.79
DOCCS,Cape Vincent Correctional Facility,13618,2011-12,309729,90547370,292.34
DOCCS,Cayuga Correctional Facility,13118,2011-12,370144,122179080,330.09
DOCCS,Chateaugay Correctional Facility,12920,2011-12,90756,27374040,301.62
DOCCS,Clinton Correctional Facility,12929,2011-12,1949707,442578410,227
DOCCS,Collins Correctional Facility,14034,2011-12,889509,140625890,158.09
DOCCS,Coxsackie Correctional Facility,12051,2011-12,659419,138689210,210.32
DOCCS,Downstate Correctional Facility,12524,2011-12,584254,321376030,550.06
DOCCS,Eastern Correctional Facility,12458,2011-12,953272,171194180,179.59
DOCCS,Edgecombe Correctional Facility,10032,2011-12,86122,22027330,255.77
DOCCS,Elmira Correctional Facility,14901,2011-12,1570340,296002260,188.5
DOCCS,Fishkill Correctional Facility,12508,2011-12,1556913,353481230,227.04
DOCCS,Five Points Correctional Facility,14541,2011-12,996856,197403620,198.03
DOCCS,Franklin Correctional Facility,12953,2011-12,544054,166986570,306.93
DOCCS,Fulton Correctional Facility,10457,2011-12,90688,5600750,61.76
DOCCS,Gouverneur Correctional Facility,13642,2011-12,372764,120373960,322.92
DOCCS,Gowanda Correctional Facility,14070,2011-12,885820,174996700,197.55
DOCCS,Great Meadow Correctional Facility,12821,2011-12,1098351,234911020,213.88
DOCCS,Greene Correctional Facility,12051,2011-12,568902,159607610,280.55
DOCCS,Green Haven Correctional Facility,12582,2011-12,1537919,284515030,185
DOCCS,Groveland Correctional Facility,14556,2011-12,1119994,162159750,144.79
DOCCS,Hale Creek Correctional Facility,12095,2011-12,130015,37574260,289
DOCCS,Hudson Correctional Facility,12534,2011-12,360644,66961550,185.67
DOCCS,Lakeview Correctional Facility,14716,2011-12,430237,85070100,197.73
DOCCS,Lincoln Correctional Facility,10026,2011-12,56919,12269300,215.56
DOCCS,Livingston Correctional Facility,14556,2011-12,287232,136576940,475.49
DOCCS,Lyon Mountain Correctional Facility,12952,2011-12,86997,44140,0.51
DOCCS,Marcy Correctional Facility,13403,2011-12,615738,145548920,236.38
DOCCS,Mid-Orange Correctional Facility,10990,2011-12,565497,33083040,58.5
DOCCS,Mid-State Correctional Facility,13403,2011-12,1077248,305404380,283.5
DOCCS,Mohawk Correctional Facility,13440,2011-12,934159,327969970,351.09
DOCCS,Monterey Correctional Facility,14812,2011-12,97983,18736480,191.22
DOCCS,Moriah Correctional Facility,12956,2011-12,113881,21472110,188.55
DOCCS,Mt. Mcgregor Correctional Facility,12831,2011-12,575352,83705090,145.49
DOCCS,Ogdensburg Correctional Facility,13669,2011-12,524778,76746230,146.25
DOCCS,Oneida Correctional Facility,13440,2011-12,856536,167037540,195.02
DOCCS,Orleans Correctional Facility,14411,2011-12,356243,83645790,234.8
DOCCS,Otisville Correctional Facility,10963,2011-12,402208,74229900,184.56
DOCCS,Queensboro Correctional Facility,11101,2011-12,128372,36485780,284.22
DOCCS,Riverview Correctional Facility,13669,2011-12,310340,103932570,334.9
DOCCS,Shawangunk Correctional Facility,12589,2011-12,341701,75268590,220.28
DOCCS,Sing Sing Correctional Facility,10562,2011-12,1145216,231608920,202.24
DOCCS,Southport Correctional Facility,14871,2011-12,430326,91866470,213.48
DOCCS,Sullivan Annex,12733,2011-12,59246,3344100,56.44
DOCCS,Sullivan Correctional Facility,12733,2011-12,367204,113707070,309.66
DOCCS,Summit Correctional Facility,12175,2011-12,81952,8398110,102.48
DOCCS,Taconic Correctional Facility,10507,2011-12,241852,73601510,304.32
DOCCS,Training Academy,12208,2011-12,92922,14817110,159.46
DOCCS,Ulster Correctional Facility,12458,2011-12,275534,76909740,279.13
DOCCS,Upstate Correctional Facility,12953,2011-12,787775,179949430,228.43
DOCCS,Wallkill Correctional Facility,12589,2011-12,515311,86481320,167.82
DOCCS,Washington Correctional Facility,12821,2011-12,471270,110474090,234.42
DOCCS,Watertown Correctional Facility,13601,2011-12,341785,83506990,244.33
DOCCS,Wende Correctional Facility,14004,2011-12,622405,124593120,200.18
DOCCS,Willard D.T.C.,14588,2011-12,1176933,153056810,130.05
DOCCS,Woodbourne Correctional Facility,12788,2011-12,410400,113468270,276.48
DOCCS,Wyoming Correctional Facility,14011,2011-12,783627,138639620,176.92
DOH,David Axelrod Institute,12208,2011-12,225000,189926280,844.12
DOH,Griffin Laboratory,12159,2011-12,48824,70983690,1453.87
DOH,Helen Hayes Hospital,10993,2011-12,289000,159989040,553.6
DOH,NYS Veterans' Home at Batavia,14020,2011-12,80381,24405370,303.62
DOH,NYS Veterans' Home at Montrose,10548,2011-12,158970,25801110,162.3
DOH,NYS Veterans' Home at St. Albans,11434,2011-12,151000,47632170,315.44
DOH,Skilled Nursing Facility-NYS Veterans' Home At Oxford,13830,2011-12,217643,95935490,440.79
DOT,Broome County HQ,13904,2011-12,31000,4152240,133.94
DOT,Hamburg HQ,14075,2011-12,22963,3653450,159.1
DOT,Lockport HQ,14094,2011-12,43000,4783240,111.24
DOT,Lowville HQ,13367,2011-12,27579,3103550,112.53
DOT,Melville HQ,11747,2011-12,32500,4157680,127.93
DOT,Monroe East HQ,14445,2011-12,25829,3889950,150.6
DOT,North Merrick HQ,11566,2011-12,57250,7913960,138.24
DOT,Ogdensburg Sub-HQ,13669,2011-12,30000,4016990,133.9
DOT,Onondaga East HQ,13212,2011-12,30453,4645820,152.56
DOT,Region 3 Fleet Adminstration Shop,13212,2011-12,65044,7353890,113.06
DOT,Region 5 Fleet Adminstration Shop,14075,2011-12,43250,5973560,138.12
DOT,Region 6 Fleet Administration Shop,14843,2011-12,44339,4347960,98.06
DOT,Region 7 Fleet Adminstration Shop,13601,2011-12,37200,5205040,139.92
DOT,Riverhead HQ,11901,2011-12,30000,3337610,111.25
DOT,Schuyler-Yates Sub-HQ,14527,2011-12,35710,2407710,67.42
DOT,Syosset HQ,11791,2011-12,30000,893850,29.8
DOT,Watertown HQ,13601,2011-12,30000,2636020,87.87
DOT,Wyoming County HQ,14569,2011-12,27125,3283350,121.05
MTA,126th Street Depot,10035,2011-12,115839,51205580,442.04
MTA,130 Livingston Street,11201,2011-12,565650,207917010,367.57
MTA,2 Broadway Office,10004,2011-12,1600000,324422960,202.76
MTA,99th Street Lighting,10029,2011-12,23260,4352030,187.1
MTA,Amsterdam Depot,10027,2011-12,87061,12629910,145.07
MTA,Baisley Park Depot,11434,2011-12,83295,16919470,203.13
MTA,Bergen Street,11213,2011-12,48700,12928250,265.47
MTA,Brewster North Maintenance Facility,10509,2011-12,65000,25577990,393.51
MTA,Casey Stengel Depot,11368,2011-12,142350,68437450,480.77
MTA,Castleton Depot,10309,2011-12,148239,56824220,383.33
MTA,Central Substation,10019,2011-12,35200,10048160,285.46
MTA,College Point Depot,11354,2011-12,127018,68858520,542.12
MTA,Eastchester Depot,10475,2011-12,66217,29646960,447.72
MTA,Far Rockaway Depot,11691,2011-12,27317,8652470,316.74
MTA,Flatbush Depot,11234,2011-12,186732,82590130,442.29
MTA,Fresh Pond Depot,11385,2011-12,165895,70601230,425.58
MTA,Grand Avenue Depot,11378,2011-12,566290,266423970,470.47
MTA,Grand Central Terminal,10017,2011-12,3229078,776871170,240.59
MTA,Gun Hill Depot,10469,2011-12,297600,90118180,302.82
